94,"20210913",1,,0,,"RO",,,"SuM",,,"307",,,,,1048580,"06d",A,202109101129,"+"
95,"20210913",1,,1011,"SD","SD","DIE",,"SuM",,"303","303",,"06e",,,1048576,"06e",A,202109101129,
96,"20210913",1,,0,,"ZA",,,"SuM",,,"303",,,,,1048580,"06e",A,202109101129,"+"
97,"20210913",1,,944,"PE","PE","SuMR",,"SuM",,"309","309",,"07a",,,1048576,"07a",A,202109101129,
98,"20210913",1,,0,,"MG",,,"SuM",,,"309",,,,,1048580,"07a",A,202109101129,
99,"20210913",1,,0,,"HO",,,"SuM",,,"310",,,,,1048580,"07b",A,202109101129,"+"
100,"20210913",1,,0,,"BK",,,"SuM",,,"310",,,,,1048580,"07b",A,202109101129,"+"
101,"20210913",1,,0,,"DM",,,"SuM",,,"311",,,,,1048580,"07c",A,202109101129,
102,"20210913",1,,0,,"MS",,,"SuM",,,"311",,,,,1048580,"07c",A,202109101129,
103,"20210913",1,,0,,"KT",,,"SuM",,,"312",,,,,1048580,"07d",A,202109101129,
104,"20210913",1,,910,"HM","HM","Inf",,"SuM",,"IN2","312",,"07d",,,1048576,"07d",A,202109101131,
105,"20210913",1,,0,,"RF",,,"SuM",,,"315",,,,,1048580,"07e",A,202109101131,"+"
106,"20210913",1,,0,,"BG",,,"SuM",,,"315",,,,,1048580,"07e",A,202109101131,"+"
107,"20210913",1,,822,"MU","MU","SuMR",,"SuM",,"308","308",,"08a",,,1048576,"08a",A,202109101131,
108,"20210913",1,,0,,"SE",,,"SuM",,,"106",,,,,1048580,"08b",A,202109101131,
109,"20210913",1,45,413,"SE",,"G1",,,,"505",,,"12",,,1,"12",C,202109101133,
111,"20210913",1,,765,"TR","TR","M",,"SuM",,"107","107",,"08c",,,1048576,"08c",A,202109101131,
112,"20210913",1,,0,,"CH",,,"SuM",,,"105",,,,,1048580,"08d",A,202109101131,"+"
113,"20210913",1,,0,,"FG",,,"SuM",,,"401",,,,,4,"09a",A,202109081618,"+"
114,"20210913",1,,0,,"LE",,,"SuM",,,"109",,,,,1048580,"09b",A,202109101131,"+"
115,"20210913",1,,719,"PT","PT","Sp",,"SuM",,"109","402",,"09b~09c",,,1048576,"09c",A,202109101130,
116,"20210913",1,,413,"EB","EB","g2",,"g2",,"402","505",,"12",,,0,"12",R,202109101133,
117,"20210913",1,,0,,"WL",,,"SuM",,,"108",,,,,1048580,"09d",A,202109101130,"+"
118,"20210913",1,,0,,"KP",,,"SuM",,,"403",,,,,1048580,"10a",A,202109101130,"+"
119,"20210913",1,,0,,"EL",,,"SuM",,,"404",,,,,1048580,"10b",A,202109101130,
120,"20210913",1,46,1080,"EL",,"Geo",,,,"304",,,"05c",,,1048577,"05c",C,202109101130,
123,"20210913",1,,582,"MT","MT","D",,"SuM",,"406","406",,"10d",,,1048576,"10d",A,202109101131,
124,"20210913",2,,0,,"LO",,,"SuM",,,"302",,,,,1048580,"06a",A,202109101135,"+"
125,"20210913",2,,0,,"SN",,,"SuM",,,"302",,,,,1048580,"06a",A,202109101135,"+"
